Sodium,Species,Salinity
485.3,scabra,100
440.1,scabra,100
377.4,scabra,100
480.8,scabra,100
471.8,scabra,100
405.7,scabra,100
452.1,scabra,100
513.1,scabra,100
289,scabra,75
336.9,scabra,75
325.1,scabra,75
335.1,scabra,75
363.7,scabra,75
293.4,scabra,75
356,scabra,75
255.1,scabra,75
307.3,scabra,50
280.8,scabra,50
225.8,scabra,50
281.1,scabra,50
303.9,scabra,50
265.1,scabra,50
271.6,scabra,50
276.4,scabra,50
322.6,digitalis,100
416.7,digitalis,100
406.2,digitalis,100
458.4,digitalis,100
358.1,digitalis,100
456.8,digitalis,100
550.1,digitalis,100
459.3,digitalis,100
338.2,digitalis,75
396.5,digitalis,75
270.5,digitalis,75
348.2,digitalis,75
282.2,digitalis,75
349,digitalis,75
237.6,digitalis,75
303.3,digitalis,75
186.8,digitalis,50
180.8,digitalis,50
260,digitalis,50
244.9,digitalis,50
286.4,digitalis,50
169.9,digitalis,50
316.3,digitalis,50
232.5,digitalis,50
