Tree,Caterpillars,Total
Sycamore,3,30
Sycamore,16,56
Sycamore,6,45
Sycamore,12,61
Sycamore,7,54
Sycamore,7,43
Sycamore,11,78
Sycamore,10,68
Sycamore,4,34
Sycamore,5,40
Sycamore,9,39
Sycamore,3,25
Sycamore,3,41
Sycamore,5,32
Sycamore,8,46
Sycamore,7,37
Sycamore,3,30
Sycamore,8,59
Sycamore,13,56
Sycamore,6,42
Sycamore,5,34
Sycamore,6,28
Sycamore,6,57
Sycamore,6,47
Sycamore,9,70
Sycamore,9,36
Oak,5,34
Oak,5,27
Oak,5,48
Oak,7,29
Oak,6,25
Oak,8,35
Oak,13,60
Oak,7,47
Oak,13,56
Oak,12,73
Oak,6,35
Oak,6,24
Oak,15,37
Oak,8,39
Oak,6,32
Oak,7,45
Oak,23,71
Oak,4,21
Oak,14,57
Oak,7,40
Oak,12,63
Oak,5,30
Oak,9,45
Oak,11,34
Oak,7,56
Oak,21,68
Oak,10,41
