"Height","Shoesize","Sex","Eye","Row","HSit","HLie","HStand"
NA,7,"Female","Blue",10,80,84,100
64,5,"Male","Brown",9,90,74,92
71,9,"Female","Blue",9,74,60,78
73,9,"Female","Green",6,47,44,47
71,11,"Female","Blue",5,80,76,102
68,6,"Male","Green",5,89,84,97
63,5,"Male","Brown",2,90,NA,90
70,8,"Female","Blue",8,75,85,83
75,11,"Female","Blue",7,70,65,75
69,10,"Female","Blue",8,63,62,70
65,5,"Male","Brown",10,80,75,90
70,8,"Male","Blue",10,67,63,78
66,5,"Male","Green",3,76,NA,80
64,5,"Male","Brown",3,92,NA,101
63,5,"Male","Blue",9,80,90,76
66,5,"Male","Blue",6,70,65,71
67,6,"Male","Blue",6,80,66,91
64,5,"Male","Brown",9,82,88,78
68,6,"Male","Blue",6,70,64,72
65,5,"Male","Blue",10,68,62,74
65,4,"Male","Blue",10,66,62,67
69,6,"Male","Blue",3,72,80,76
71,6,"Male","Brown",3,88,92,83
65,5,"Male","Blue",6,68,62,82
62,4,"Male","Brown",6,69,60,80
59,3,"Male","Brown",9,72,68,73
67,7,"Male","Green",1,90,100,95
70,10,"Female","Green",10,62,58,78
66,6,"Male","Blue",9,69,70,72
66,6,"Male","Brown",5,72,64,90
70,10,"Female","Blue",8,79,84,77
65,6,"Male","Blue",2,82,NA,90
68,8,"Female","Blue",2,60,58,61
67,5,"Male","Brown",7,88,80,100
68,4,"Male","Blue",2,70,NA,67
70,9,"Female",NA,7,84,68,88
72,8,"Female","Blue",6,86,80,92
72,10,"Female","Brown",6,66,72,68
62,5,"Male","Brown",1,68,NA,79
74,11,"Female","Brown",7,77,73,84
73,9,"Female","Blue",8,72,68,70
64,4,"Male","Brown",8,70,72,70
69,6,"Male","Blue",8,70,66,90
68,7,"Male","Blue",3,82,NA,92
70,9,"Female","Brown",8,52,49,64
66,7,"Female","Brown",8,70,64,80
72,12,"Female","Blue",6,70,64,76
69,7,"Male","Brown",6,71,66,76
66,6,"Male","Blue",6,76,58,64
68,9,"Male","Brown",6,59,55,67
64,6,"Male","Blue",6,70,95,60
68,6,"Male","Blue",6,84,78,104
61,5,"Male","Brown",8,72,69,71
72,10,"Female","Brown",8,84,78,92
67,7,"Female","Brown",9,72,68,75
74,NA,"Female","Brown",4,70,62,72
76,10,"Female","Green",5,72,70,79
68,9,"Female","Blue",10,68,90,60
67,7,"Male","Blue",1,78,83,75
70,8,"Female","Blue",8,61,57,66
61,4,"Male","Green",8,56,59,64
74,11,"Female","Blue",7,80,76,84
64,5,"Male","Blue",7,88,84,99
68,8,"Female","Brown",4,64,58,72
63,5,"Male","Blue",4,77,68,82
71,12,"Female","Blue",4,66,60,70
64,6,"Male","Brown",5,57,52,63
70,9,"Female","Blue",10,65,82,58
66,7,"Male","Blue",3,82,68,88
67,7,"Female","Blue",3,58,60,67
76,11,"Female","Blue",4,76,62,92
63,4,"Male","Brown",7,68,64,72
76,12,"Female","Brown",3,70,83,67
68,8,"Female","Green",4,52,50,60
66,6,"Male","Brown",6,80,62,87
70,9,"Female","Brown",4,72,64,80
67,7,"Male","Brown",2,109,98,124
70,9,"Female","Blue",5,70,74,78
71,8,"Female","Blue",5,72,70,76
62,4,"Male","Brown",4,72,70,76
67,7,"Male","Blue",9,90,77,93
67,6,"Male","Brown",6,NA,NA,NA
65,6,"Male","Green",6,84,64,90
72,11,"Female","Brown",9,68,76,92
74,10,"Female","Brown",9,76,72,100
67,6,"Male","Blue",5,68,60,73
67,5,"Male","Blue",5,72,67,75
66,6,"Male","Blue",8,52,51,56
70,9,"Female","Blue",8,60,56,70
69,8,"Female","Brown",5,72,70,78
66,6,"Male","Brown",4,62,58,64
66,6,"Male","Blue",4,68,60,72
70,8,"Female","Blue",4,64,60,70
63,6,"Male",NA,10,80,58,76
72,9,"Female","Brown",11,72,58,66
68,6,"Male","Blue",2,90,75,90
66,6,"Male","Blue",9,90,75,90
