"Habitat","Site","Colour","Number"
"Rural","R1","Black",10
"Rural","R2","Black",3
"Rural","R3","Black",4
"Rural","R4","Black",7
"Rural","R5","Black",6
"Rural","R1","Red",15
"Rural","R2","Red",18
"Rural","R3","Red",9
"Rural","R4","Red",12
"Rural","R5","Red",16
"Industrial","U1","Black",32
"Industrial","U2","Black",25
"Industrial","U3","Black",25
"Industrial","U4","Black",17
"Industrial","U5","Black",16
"Industrial","U1","Red",17
"Industrial","U2","Red",23
"Industrial","U3","Red",21
"Industrial","U4","Red",9
"Industrial","U5","Red",15
