Lake,Lead
Allsopp,1.817279319
Allsopp,1.413170671
Allsopp,1.603100917
Allsopp,2.194132786
Allsopp,1.120838119
Allsopp,1.881692312
Anglers,1.509624158
Anglers,1.595646348
Anglers,1.318527718
Anglers,1.022290488
Anglers,1.269332492
Anglers,1.574433708
Beaver,1.928666401
Beaver,1.575652919
Beaver,1.397823255
Beaver,1.04022844
Beaver,1.169443225
Beaver,1.298092106
Kelvin,0.588192025
Kelvin,0.37890347
Kelvin,0.718093495
Kelvin,0.233509384
Kelvin,0.361870196
Kelvin,1.060999329
Rocky,3.238652961
Rocky,3.032183068
Rocky,2.732558248
Rocky,3.234106251
Rocky,3.458719165
Rocky,3.31121366
