ID,LeafType,Damage
1,Notdamaged,65
2,Notdamaged,0
3,Notdamaged,10
4,Notdamaged,45
5,Notdamaged,55
6,Notdamaged,45
7,Notdamaged,0
8,Notdamaged,10
9,Notdamaged,5
10,Notdamaged,70
11,Notdamaged,55
12,Notdamaged,40
13,Notdamaged,0
14,Notdamaged,70
15,Notdamaged,65
16,Notdamaged,35
17,Notdamaged,65
18,Notdamaged,45
19,Notdamaged,0
20,Notdamaged,20
1,Damaged,5
2,Damaged,25
3,Damaged,30
4,Damaged,40
5,Damaged,15
6,Damaged,5
7,Damaged,35
8,Damaged,45
9,Damaged,30
10,Damaged,10
11,Damaged,15
12,Damaged,50
13,Damaged,0
14,Damaged,0
15,Damaged,5
16,Damaged,45
17,Damaged,20
18,Damaged,10
19,Damaged,30
20,Damaged,0
