Weight,Season
2.173,Winter
2.284,Winter
2.3,Winter
2.331,Winter
2.639,Winter
1.889,Winter
1.952,Winter
2.738,Winter
2.439,Winter
2.357,Winter
2.895,Winter
2.534,Winter
2.394,Winter
2.307,Winter
2.334,Winter
2.288,Winter
2.512,Winter
2.056,Winter
2.579,Winter
1.729,Winter
2.109,Winter
2.433,Winter
2.418,Winter
2.052,Winter
2.341,Winter
2.189,Summer
2.615,Summer
2.564,Summer
2.245,Summer
2.528,Summer
2.998,Summer
2.655,Summer
2.349,Summer
2.955,Summer
2.465,Summer
2.685,Summer
2.522,Summer
2.413,Summer
2.525,Summer
2.018,Summer
2.393,Summer
2.766,Summer
2.648,Summer
2.063,Summer
2.939,Summer
2.59,Summer
2.428,Summer
2.855,Summer
2.384,Summer
2.296,Summer
