Food,Tree
20.10000038,Oak
47.39999771,Oak
85.6000061,Oak
17.10000038,Oak
5.699999809,Oak
7.799999714,Oak
28.80000114,Oak
18.79999924,Oak
12.10000038,Oak
62,Oak
4.900000095,Oak
57.09999847,Oak
20.39999962,Oak
29.10000038,Oak
8.199999809,Oak
7.5,Oak
8.100000381,Oak
19,Oak
6.699999809,Oak
16.60000038,Oak
52.80000305,Oak
37.59999847,Oak
33.09999847,Oak
30,Oak
50.20000076,Oak
41,Oak
16.69999886,Oak
35.20000076,Sycamore
5.600000381,Sycamore
7.199999809,Sycamore
13.80000019,Sycamore
25.5,Sycamore
8.800000191,Sycamore
4.5,Sycamore
9.399999619,Sycamore
35.20000076,Sycamore
44.30000305,Sycamore
11.69999981,Sycamore
7.100000381,Sycamore
29.10000038,Sycamore
11.89999962,Sycamore
23.20000076,Sycamore
19.5,Sycamore
7.899999619,Sycamore
27.29999924,Sycamore
6.100000381,Sycamore
6.5,Sycamore
12.80000019,Sycamore
16.5,Sycamore
20,Sycamore
32.90000153,Sycamore
14.29999924,Sycamore
16.20000076,Sycamore
